 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    7.4642    4.0000   23.5897   14.9858    5.3341    3.1395    3.5270    8.1488  2.9356E+00     -0.2625  9.9181E-05
    7.4712    4.0000   23.5897   14.8359    5.3350    3.1415    3.5262    8.1659  2.8014E+00     -0.2625  8.3778E-05
    7.4782    4.0000   23.5897   14.6875    5.3358    3.1435    3.5255    8.1829  2.6706E+00     -0.2625  7.0523E-05
    7.4850    4.0000   23.5897   14.5407    5.3367    3.1455    3.5247    8.1996  2.5434E+00     -0.2625  5.9148E-05
    7.4918    4.0000   23.5897   14.3953    5.3375    3.1475    3.5239    8.2160  2.4197E+00     -0.2625  4.9414E-05
    7.4984    4.0000   23.5897   14.2513    5.3383    3.1494    3.5231    8.2322  2.2994E+00     -0.2625  4.1112E-05
    7.5050    4.0000   23.5897   14.1088    5.3392    3.1513    3.5224    8.2482  2.1825E+00     -0.2625  3.4053E-05
    7.5114    4.0000   23.5897   13.9677    5.3400    3.1532    3.5217    8.2640  2.0690E+00     -0.2625  2.8072E-05
    7.5178    4.0000   23.5897   13.8280    5.3408    3.1551    3.5209    8.2795  1.9589E+00     -0.2625  2.3025E-05
    7.5241    4.0000   23.5897   13.6898    5.3415    3.1569    3.5202    8.2948  1.8522E+00     -0.2625  1.8783E-05
    7.5303    4.0000   23.5897   13.5529    5.3423    3.1587    3.5195    8.3099  1.7488E+00     -0.2625  1.5233E-05
    7.5364    4.0000   23.5897   13.4173    5.3431    3.1605    3.5188    8.3248  1.6486E+00     -0.2625  1.2277E-05
    7.5424    4.0000   23.5897   13.2832    5.3438    3.1622    3.5181    8.3395  1.5518E+00     -0.2625  9.8278E-06
    7.5483    4.0000   23.5897   13.1503    5.3446    3.1639    3.5175    8.3540  1.4582E+00     -0.2625  7.8098E-06
    7.5542    4.0000   23.5897   13.0188    5.3453    3.1656    3.5168    8.3683  1.3678E+00     -0.2625  6.1571E-06
    7.5600    4.0000   23.5897   12.8886    5.3460    3.1672    3.5162    8.3824  1.2807E+00     -0.2625  4.8125E-06
    7.5657    4.0000   23.5897   12.7597    5.3467    3.1688    3.5155    8.3963  1.1967E+00     -0.2625  3.7265E-06
    7.5713    4.0000   23.5897   12.6321    5.3474    3.1704    3.5149    8.4100  1.1159E+00     -0.2625  2.8562E-06
